date,Negative,Positive,Netral,timestamp
2019-09-22,25,29,289,1569085200000
2019-09-23,63,18,369,1569171600000
2019-09-24,15,19,419,1569258000000
2019-09-25,15,16,343,1569344400000
2019-09-26,18,23,458,1569430800000
2019-09-27,21,23,515,1569517200000
2019-09-28,42,47,262,1569603600000
2019-09-29,29,14,263,1569690000000
2019-09-30,26,29,323,1569776400000
2019-10-01,26,14,469,1569862800000
2019-10-02,16,17,538,1569949200000
2019-10-03,21,21,476,1570035600000
2019-10-04,0,4,62,1570122000000
