date,open,high,low,close,volume,timestamp
2019-09-27,230.0000,230.0000,220.0000,224.0000,3266600,1569776400000
2019-09-27,230.0000,230.0000,226.0000,226.0000,415300,1569517200000
2019-09-26,234.0000,238.0000,224.0000,230.0000,5353600,1569430800000
2019-09-25,234.0000,238.0000,228.0000,234.0000,674500,1569344400000
2019-09-24,238.0000,240.0000,236.0000,236.0000,172900,1569258000000
2019-09-23,242.0000,242.0000,236.0000,236.0000,1219500,1569171600000
2019-09-20,240.0000,242.0000,238.0000,240.0000,982600,1568912400000
2019-09-19,242.0000,246.0000,238.0000,240.0000,1054100,1568826000000
2019-09-18,244.0000,244.0000,240.0000,242.0000,2099700,1568739600000
2019-09-17,240.0000,244.0000,238.0000,240.0000,2076300,1568653200000
2019-09-16,246.0000,248.0000,238.0000,240.0000,3326200,1568566800000
2019-09-13,252.0000,254.0000,242.0000,244.0000,4510700,1568307600000
