date,Twitter,Facebook,Images,Video
2019-10-08,45,209,244,10
2019-10-09,50,167,182,30
2019-10-10,19,87,186,10
2019-10-11,31,140,127,10
2019-10-12,29,85,263,10
2019-10-13,37,79,367,10
2019-10-14,55,125,167,20
2019-10-15,66,126,201,10
2019-10-16,3,87,198,10
2019-10-17,17,79,158,10
2019-10-18,20,177,204,10
2019-10-19,67,187,124,10
2019-10-20,29,75,477,10
2019-10-21,20,95,152,10
2019-10-22,4,102,127,-10
2019-10-23,34,123,168,10
2019-10-24,33,79,173,10
2019-10-25,25,88,185,20
2019-10-26,37,78,146,10
2019-10-27,41,51,171,10
2019-10-28,36,82,200,20
