date,Twitter,Facebook,Images,Video,portal
2019-10-09,445,4,26,7,63
2019-10-10,508,57,13,1,75
2019-10-11,339,41,11,1,65
2019-10-12,214,13,20,1,45
2019-10-13,203,6,18,0,33
2019-10-14,438,32,21,0,70
2019-10-15,1639,7,2,1,70
2019-10-16,362,18,16,0,45
2019-10-17,370,36,19,1,86
2019-10-18,349,5,10,0,45
2019-10-19,235,5,15,0,48
2019-10-20,297,5,10,0,40
2019-10-21,413,6,7,0,54
2019-10-22,893,20,5,0,55
2019-10-23,633,39,11,0,56
2019-10-24,1077,15,11,3,60
2019-10-25,253,24,3,1,71
2019-10-26,271,6,12,0,41
2019-10-27,311,3,4,1,32
2019-10-28,280,16,6,0,8
2019-10-29,158,30,6,0,6
